variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',1.295486566,-2718.921107,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.220830307,-2275.913431,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.22206929,-1810.503117,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.392031264,-3848.516843,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.512676619,-4854.831778,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.465220741,-5935.376137,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.304723539,-2563.009976,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.122178671,-4.387822993,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.219496516,-3375.075334,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.223558915,-1449.139701,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.292895889,-1080.65401,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.399941001,-2269.560865,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.149443244,-742.921677,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.102916954,572.1951783,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.407044873,-6333.092812,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.453123607,-4368.76804,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.183780188,-691.5571038,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.32552697,-1130.438661,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.432825031,-3374.866169,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',1.407542889,-2305.972685,'ACCESS-ESM1-5'
'NEP','GLB','SSP126',-0.26207373,-335.8713958,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.030633749,-635.6083125,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.189998114,-1111.763231,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.043802326,2181.89401,'BCC-CSM2-MR'
'NEP','GLB','SSP126',-0.00236046,-98.65107106,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.030281419,-819.9933645,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.14515259,18.96510932,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.259172801,-92.04336492,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.115043928,2057.986176,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.200482661,-105.0610987,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.377219263,-2276.641105,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.348553446,1080.490392,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.219265956,3016.314783,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.386772697,756.4186185,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.282818173,-1075.377319,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.277108416,2435.683422,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.534085369,403.2720974,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.459850669,1841.451583,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.647370435,-635.6950586,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.566000443,780.3090383,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.616291054,-906.039578,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.837389268,494.9821345,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.621850671,21.53868721,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.744163946,-576.0967402,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.604508395,2762.578497,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.695589656,1273.409605,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.569864646,-1108.517401,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.720949529,2204.118801,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.686419576,812.5079045,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.621719807,415.3782451,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.54944079,1015.238636,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.76797074,699.0730557,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.928479329,303.8543092,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.907733828,555.179695,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.851608786,-1251.58593,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.87163285,-1670.012886,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.818017906,231.3513025,'BCC-CSM2-MR'
'NEP','GLB','SSP126',1.082276504,-3027.196295,'BCC-CSM2-MR'
'NEP','GLB','SSP126',1.004856101,1130.86622,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.736611265,366.478237,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.931904525,-570.9196721,'BCC-CSM2-MR'
'NEP','GLB','SSP126',1.076700808,395.3002941,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.85361419,-2811.300683,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.880189039,-1914.962787,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.946831232,919.66804,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.762438322,-987.5887274,'BCC-CSM2-MR'
'NEP','GLB','SSP126',1.069231725,310.9717973,'BCC-CSM2-MR'
'NEP','GLB','SSP126',0.974027085,-985.7543661,'BCC-CSM2-MR'
